draw_number,date,day_of_week,num1,num2,num3,num4,num5,num6,additional_number,group1_prize,group1_winners,is_synthetic
3286,2017-07-24,Monday,2,22,23,32,35,41,7,0,0,False
3287,2017-07-27,Thursday,14,20,24,33,37,41,18,0,0,False
3288,2017-07-31,Monday,11,13,14,16,30,43,47,0,0,False
3289,2017-08-03,Thursday,14,19,22,27,32,36,40,0,0,False
3290,2017-08-07,Monday,5,17,34,40,42,46,22,0,0,False
3291,2017-08-10,Thursday,1,31,39,45,46,49,34,0,0,False
3292,2017-08-14,Monday,2,8,17,22,39,46,6,0,0,False
3293,2017-08-17,Thursday,11,15,29,39,41,47,25,0,0,False
3294,2017-08-21,Monday,4,7,12,18,42,47,41,0,0,False
3295,2017-08-24,Thursday,11,17,26,30,32,39,33,0,0,False
3296,2017-08-28,Monday,1,21,29,35,39,46,8,0,0,False
3297,2017-08-31,Thursday,3,36,39,40,44,47,14,0,0,False
3298,2017-09-04,Monday,10,11,22,36,38,46,13,0,0,False
3299,2017-09-07,Thursday,13,19,20,21,32,49,27,0,0,False
3300,2017-09-11,Monday,7,14,17,18,44,48,2,0,0,False
3301,2017-09-14,Thursday,12,15,29,36,40,45,16,0,0,False
3302,2017-09-18,Monday,3,15,22,24,32,43,35,0,0,False
3303,2017-09-21,Thursday,9,14,15,28,35,37,2,0,0,False
3304,2017-09-25,Monday,7,18,26,34,41,48,8,0,0,False
3305,2017-09-28,Thursday,11,12,26,27,29,33,10,0,0,False
3306,2017-10-02,Monday,2,8,17,18,23,42,1,0,0,False
3307,2017-10-05,Thursday,9,19,23,36,40,44,20,0,0,False
3308,2017-10-09,Monday,6,14,17,40,43,49,48,0,0,False
3309,2017-10-12,Thursday,6,14,17,21,22,37,15,0,0,False
3310,2017-10-16,Monday,6,11,12,34,36,49,3,0,0,False
3311,2017-10-19,Thursday,2,4,15,20,26,28,24,0,0,False
3312,2017-10-23,Monday,2,9,23,35,38,48,20,0,0,False
3313,2017-10-26,Thursday,3,10,25,32,36,37,6,0,0,False
3314,2017-10-30,Monday,8,20,30,43,46,48,18,0,0,False
3315,2017-11-02,Thursday,7,17,18,30,32,47,39,0,0,False
3316,2017-11-06,Monday,2,8,11,15,19,32,47,0,0,False
3317,2017-11-09,Thursday,22,31,33,41,44,47,24,0,0,False
3318,2017-11-13,Monday,3,19,21,35,37,44,26,0,0,False
3319,2017-11-16,Thursday,11,13,16,27,34,48,30,0,0,False
3320,2017-11-20,Monday,9,11,13,18,20,34,27,0,0,False
3321,2017-11-23,Thursday,11,14,41,46,47,49,48,0,0,False
3322,2017-11-27,Monday,7,8,23,30,42,48,38,0,0,False
3323,2017-11-30,Thursday,17,22,29,36,38,47,46,0,0,False
3324,2017-12-04,Monday,4,5,19,38,39,40,26,0,0,False
3325,2017-12-07,Thursday,9,10,25,37,45,46,40,0,0,False
3326,2017-12-11,Monday,5,12,37,39,42,43,15,0,0,False
3327,2017-12-14,Thursday,1,9,13,33,41,48,21,0,0,False
3328,2017-12-18,Monday,2,6,10,19,31,35,34,0,0,False
3329,2017-12-21,Thursday,1,2,26,27,35,43,23,0,0,False
3330,2017-12-25,Monday,6,7,14,17,19,29,46,0,0,False
3331,2017-12-28,Thursday,1,3,5,16,27,40,26,0,0,False
3332,2018-01-01,Monday,3,9,16,34,45,46,49,0,0,False
3333,2018-01-05,Friday,3,4,13,19,23,47,5,0,0,False
3334,2018-01-08,Monday,6,10,18,36,44,45,46,0,0,False
3335,2018-01-11,Thursday,22,24,25,40,45,49,3,0,0,False
3336,2018-01-15,Monday,1,2,6,28,29,49,17,0,0,False
3337,2018-01-18,Thursday,2,6,12,17,26,40,44,0,0,False
3338,2018-01-22,Monday,1,2,15,29,32,49,11,0,0,False
3339,2018-01-25,Thursday,1,15,23,25,34,47,2,0,0,False
3340,2018-01-29,Monday,7,14,25,32,44,48,19,0,0,False
3341,2018-02-01,Thursday,4,15,20,22,29,32,8,0,0,False
3342,2018-02-05,Monday,25,33,38,40,42,48,27,0,0,False
3343,2018-02-09,Friday,8,15,16,23,40,49,18,0,0,False
3344,2018-02-12,Monday,12,14,19,23,37,41,3,0,0,False
3345,2018-02-15,Thursday,16,18,30,31,36,41,1,0,0,False
3346,2018-02-19,Monday,10,21,29,34,37,43,28,0,0,False
3347,2018-02-22,Thursday,4,12,13,15,35,46,21,0,0,False
3348,2018-02-26,Monday,4,9,13,15,40,44,48,0,0,False
3349,2018-03-02,Friday,24,28,31,37,40,49,29,0,0,False
3350,2018-03-05,Monday,6,15,16,30,32,39,19,0,0,False
3351,2018-03-08,Thursday,2,10,14,24,28,40,21,0,0,False
3352,2018-03-12,Monday,9,12,15,16,29,44,2,0,0,False
3353,2018-03-15,Thursday,9,16,23,25,34,40,47,0,0,False
3354,2018-03-19,Monday,3,18,31,39,43,46,29,0,0,False
